JournalTitle,MedAbbr,ISSN,eISSN,JIF_2024,JIF_Quartile,CAS_Quartile
Environmental science & technology,Environ Sci Technol,0013-936X,1520-5851,11.3,Q1,1.0
Reviews in aquaculture,Rev Aquac,1753-5123,1753-5131,11.3,Q1,1.0
The Journal of allergy and clinical immunology,J Allergy Clin Immunol,0091-6749,1097-6825,11.2,Q1,1.0
Environmental impact assessment review,Environ Impact Assess Rev,0195-9255,,11.2,Q1,
IEEE computational intelligence magazine,IEEE Comput Intell Mag,1556-603X,1556-6048,11.2,Q1,2.0
Alzheimer's & dementia : the journal of the Alzheimer's Association,Alzheimers Dement,1552-5260,1552-5279,11.1,Q1,1.0
IEEE transactions on circuits and systems for video technology : a publication of the Circuits and Systems Society,IEEE Trans Circuits Syst Video Technol,1051-8215,1558-2205,11.1,Q1,1.0
Additive manufacturing,Addit Manuf,2214-8604,2214-7810,11.1,Q1,1.0
Trends in biochemical sciences,Trends Biochem Sci,0968-0004,,11.0,Q1,1.0
Applied energy,Appl Energy,0306-2619,,11.0,Q1,1.0
Gut microbes,Gut Microbes,1949-0976,1949-0984,11.0,Q1,1.0
JAMA dermatology,JAMA Dermatol,2168-6068,2168-6084,11.0,Q1,1.0
Rare metals,Rare Metals,1001-0521,1867-7185,11.0,Q1,1.0
Reliability engineering & system safety,Reliab Eng Syst Saf,0951-8320,1879-0836,11.0,Q1,1.0
Nano today,Nano Today,1748-0132,1878-044X,10.9,Q1,1.0
Energy conversion and management,Energy Convers Manag,0196-8904,1879-2227,10.9,Q1,1.0
"Arthritis & rheumatology (Hoboken, N.J.)",Arthritis Rheumatol,2326-5191,2326-5205,10.9,Q1,1.0
"Resources, conservation, and recycling",Resour Conserv Recycl,0921-3449,1879-0658,10.9,Q1,1.0
European journal of heart failure,Eur J Heart Fail,1388-9842,1879-0844,10.8,Q1,1.0
Annual reviews in control,Annu Rev Control,1367-5788,,10.7,Q1,2.0
NBER macroeconomics annual,NBER Macroecon Annu,0889-3365,1537-2642,10.7,Q1,
Materials horizons,Mater Horiz,2051-6347,2051-6355,10.7,Q1,2.0
IEEE transactions on wireless communications,IEEE Trans Wirel Commun,1536-1276,,10.7,Q1,1.0
Natural product reports,Nat Prod Rep,0265-0568,1460-4752,10.6,Q1,1.0
Journal of economic literature,J Econ Lit,0022-0515,,10.6,Q1,
Educational research review,Educ Res Rev,1747-938X,1878-0385,10.6,Q1,
Academy of Management journal. Academy of Management,Acad Manage J,0001-4273,1948-0989,10.5,Q1,1.0
Biosensors & bioelectronics,Biosens Bioelectron,0956-5663,1873-4235,10.5,Q1,1.0
Cancer treatment reviews,Cancer Treat Rev,0305-7372,1532-1967,10.5,Q1,1.0
Pharmacological research,Pharmacol Res,1043-6618,1096-1186,10.5,Q1,2.0
Plant biotechnology journal,Plant Biotechnol J,1467-7644,1467-7652,10.5,Q1,1.0
Computers & education,Comput Educ,0360-1315,,10.5,Q1,
IEEE transactions on robotics : a publication of the IEEE Robotics and Automation Society,IEEE Trans Robot,1552-3098,1941-0468,10.5,Q1,1.0
IEEE transactions on cybernetics,IEEE Trans Cybern,2168-2267,2168-2275,10.5,Q1,1.0
Journal of marketing,J Mark,0022-2429,,10.4,Q1,1.0
"Personality and social psychology review : an official journal of the Society for Personality and Social Psychology, Inc",Pers Soc Psychol Rev,1088-8683,1532-7957,10.4,Q1,
IEEE transactions on knowledge and data engineering,IEEE Trans Knowl Data Eng,1041-4347,1558-2191,10.4,Q1,1.0
European respiratory review : an official journal of the European Respiratory Society,Eur Respir Rev,0905-9180,1600-0617,10.4,Q1,1.0
Annual review of materials research,Annu Rev Mater Res,1531-7331,1545-4118,10.4,Q1,1.0
ACS central science,ACS Cent Sci,2374-7943,2374-7951,10.4,Q1,1.0
Molecular aspects of medicine,Mol Aspects Med,0098-2997,1872-9452,10.3,Q1,2.0
Soil biology & biochemistry,Soil Biol Biochem,0038-0717,1879-3428,10.3,Q1,1.0
"Physiology (Bethesda, Md.)",Physiology (Bethesda),1548-9213,1548-9221,10.3,Q1,
Wiley interdisciplinary reviews. Climate change,Wiley Interdiscip Rev Clim Change,1757-7780,1757-7799,10.3,Q1,1.0
Journal of sport and health science,J Sport Health Sci,2095-2546,2213-2961,10.3,Q1,1.0
Diabetologia,Diabetologia,0012-186X,1432-0428,10.2,Q1,1.0
Clinical cancer research : an official journal of the American Association for Cancer Research,Clin Cancer Res,1078-0432,1557-3265,10.2,Q1,1.0
Cellular & molecular biology letters,Cell Mol Biol Lett,1425-8153,1689-1392,10.2,Q1,1.0
Cancer letters,Cancer Lett,0304-3835,1872-7980,10.1,Q1,1.0
Molecular psychiatry,Mol Psychiatry,1359-4184,1476-5578,10.1,Q1,1.0
Nature structural & molecular biology,Nat Struct Mol Biol,1545-9993,1545-9985,10.1,Q1,1.0
"International journal of surgery (London, England)",Int J Surg,1743-9191,1743-9159,10.1,Q1,
"Catalysis reviews, science and engineering",Catal Rev Sci Eng,0161-4940,1520-5703,10.1,Q1,2.0
Satellite navigation,Satell Navig,2662-9291,2662-1363,10.1,Q1,1.0
Government information quarterly,Gov Inf Q,0740-624X,,10.0,Q1,1.0
The ISME journal,ISME J,1751-7362,1751-7370,10.0,Q1,1.0
Laser & photonics reviews,Laser Photon Rev,1863-8880,1863-8899,10.0,Q1,1.0
Journal of cleaner production,J Clean Prod,0959-6526,1879-1786,10.0,Q1,1.0
Earth-science reviews,Earth Sci Rev,0012-8252,1872-6828,10.0,Q1,1.0
International journal of production economics,Int J Prod Econ,0925-5273,1873-7579,10.0,Q1,1.0
IEEE transactions on sustainable energy,IEEE Trans Sustain Energy,1949-3029,1949-3037,10.0,Q1,1.0
American journal of hematology,Am J Hematol,0361-8609,1096-8652,9.9,Q1,1.0
Annual review of microbiology,Annu Rev Microbiol,0066-4227,1545-3251,9.9,Q1,1.0
PLoS medicine,PLoS Med,1549-1277,1549-1676,9.9,Q1,1.0
IEEE transactions on industrial informatics,IEEE Trans Industr Inform,1551-3203,1941-0050,9.9,Q1,1.0
Transport reviews,Transp Rev,0144-1647,1464-5327,9.9,Q1,1.0
Studies in science education,Stud Sci Educ,0305-7267,1940-8412,9.9,Q1,
Advanced engineering informatics,Adv Eng Inform,1474-0346,1873-5320,9.9,Q1,1.0
Battery energy,Battery Energy,2768-1688,2768-1696,9.9,Q1,3.0
Environmental health perspectives,Environ Health Perspect,0091-6765,1552-9924,9.8,Q1,1.0
IEEE transactions on medical imaging,IEEE Trans Med Imaging,0278-0062,1558-254X,9.8,Q1,1.0
Journal of business research,J Bus Res,0148-2963,,9.8,Q1,1.0
Desalination,Desalination,0011-9164,,9.8,Q1,2.0
Food chemistry,Food Chem,0308-8146,1873-7072,9.8,Q1,1.0
Circulation. Arrhythmia and electrophysiology,Circ Arrhythm Electrophysiol,1941-3149,1941-3084,9.8,Q1,1.0
Composites science and technology,Compos Sci Technol,0266-3538,,9.8,Q1,1.0
IEEE transactions on smart grid,IEEE Trans Smart Grid,1949-3053,1949-3061,9.8,Q1,1.0
Journal of energy storage,J Energy Storage,2352-152X,2352-1538,9.8,Q1,2.0
International review of financial analysis,Int Rev Financ Anal,1057-5219,1873-8079,9.8,Q1,
Journal of colloid and interface science,J Colloid Interface Sci,0021-9797,1095-7103,9.7,Q1,1.0
Ultrasonics sonochemistry,Ultrason Sonochem,1350-4177,1873-2828,9.7,Q1,1.0
Environment international,Environ Int,0160-4120,1873-6750,9.7,Q1,1.0
Sleep medicine reviews,Sleep Med Rev,1087-0792,1532-2955,9.7,Q1,1.0
Health psychology review,Health Psychol Rev,1743-7199,1743-7202,9.7,Q1,
Science China. Chemistry,Sci China Chem,1674-7291,1869-1870,9.7,Q1,1.0
The leadership quarterly,Leadersh Q,1048-9843,1873-3409,9.7,Q1,1.0
IEEE transactions on multimedia,IEEE Trans Multimedia,1520-9210,1941-0077,9.7,Q1,1.0
American journal of public health,Am J Public Health,0090-0036,1541-0048,9.6,Q1,2.0
The British journal of dermatology,Br J Dermatol,0007-0963,1365-2133,9.6,Q1,1.0
Clinical nuclear medicine,Clin Nucl Med,0363-9762,1536-0229,9.6,Q1,
Annual review of biomedical engineering,Annu Rev Biomed Eng,1523-9829,1545-4274,9.6,Q1,1.0
Acta biomaterialia,Acta Biomater,1742-7061,1878-7568,9.6,Q1,1.0
IEEE signal processing magazine,IEEE Signal Process Mag,1053-5888,1558-0792,9.6,Q1,2.0
Advanced healthcare materials,Adv Healthc Mater,2192-2640,2192-2659,9.6,Q1,2.0
Burns & trauma,Burns Trauma,2321-3868,2321-3876,9.6,Q1,
Biomaterials research,Biomater Res,1226-4601,2055-7124,9.6,Q1,2.0
Dialogues in human geography,Dialogues Hum Geogr,2043-8206,2043-8214,9.6,Q1,
Journal of the American Academy of Child and Adolescent Psychiatry,J Am Acad Child Adolesc Psychiatry,0890-8567,1527-5418,9.5,Q1,1.0
Ophthalmology,Ophthalmology,0161-6420,1549-4713,9.5,Q1,1.0
EuroIntervention : journal of EuroPCR in collaboration with the Working Group on Interventional Cardiology of the European Society of Cardiology,EuroIntervention,1774-024X,1969-6213,9.5,Q1,1.0
The Journal of finance,J Finance,0022-1082,1540-6261,9.5,Q1,
Science China. Life sciences,Sci China Life Sci,1674-7305,1869-1889,9.5,Q1,1.0
Journal of materials chemistry. A,J Mater Chem A Mater,2050-7488,2050-7496,9.5,Q1,2.0
"Annual review of political science (Palo Alto, Calif.)",Annu Rev Polit Sci (Palo Alto),1094-2939,1545-1577,9.5,Q1,
Journal of the American Society of Nephrology : JASN,J Am Soc Nephrol,1046-6673,1533-3450,9.4,Q1,1.0
"Sports medicine (Auckland, N.Z.)",Sports Med,0112-1642,1179-2035,9.4,Q1,1.0
Journal of physiotherapy,J Physiother,1836-9553,1836-9561,9.4,Q1,1.0
"Energy (Oxford, England)",Energy (Oxf),0360-5442,1873-6785,9.4,Q1,1.0
Genes & diseases,Genes Dis,2352-4820,2352-3042,9.4,Q1,
International journal of mechanical sciences,Int J Mech Sci,0020-7403,1879-2162,9.4,Q1,1.0
Acta neuropathologica,Acta Neuropathol,0001-6322,1432-0533,9.3,Q1,1.0
"Critical care (London, England)",Crit Care,1364-8535,1466-609X,9.3,Q1,1.0
Journal of integrative plant biology,J Integr Plant Biol,1672-9072,1744-7909,9.3,Q1,1.0
Acta materialia,Acta Mater,1359-6454,,9.3,Q1,1.0
International journal of computer vision,Int J Comput Vis,0920-5691,,9.3,Q1,2.0
"Electromagnetic waves (Cambridge, Mass.)",Electromagn Waves (Camb),1070-4698,1559-8985,9.3,Q1,2.0
British journal of anaesthesia,Br J Anaesth,0007-0912,1471-6771,9.2,Q1,1.0
Journal of internal medicine,J Intern Med,0954-6820,1365-2796,9.2,Q1,1.0
Archivos de bronconeumologia,Arch Bronconeumol,0300-2896,1579-2129,9.2,Q1,
Angiogenesis,Angiogenesis,0969-6970,1573-7209,9.2,Q1,1.0
Landscape and urban planning,Landsc Urban Plan,0169-2046,,9.2,Q1,1.0
Green chemistry : an international journal and green chemistry resource : GC,Green Chem,1463-9262,1463-9262,9.2,Q1,1.0
Seminars in immunopathology,Semin Immunopathol,1863-2297,1863-2300,9.2,Q1,1.0
"Advances in nutrition (Bethesda, Md.)",Adv Nutr,2161-8313,2156-5376,9.2,Q1,2.0
JAMA ophthalmology,JAMA Ophthalmol,2168-6165,2168-6173,9.2,Q1,1.0
IEEE transactions on mobile computing,IEEE Trans Mob Comput,1536-1233,1558-0660,9.2,Q1,1.0
Collagen and leather,Collagen Leather,2097-1419,2731-6998,9.2,Q1,
Anesthesiology,Anesthesiology,0003-3022,1528-1175,9.1,Q1,1.0
"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",J Nucl Med,0161-5505,1535-5667,9.1,Q1,1.0
Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A,0027-8424,1091-6490,9.1,Q1,1.0
Nano letters,Nano Lett,1530-6984,1530-6992,9.1,Q1,1.0
Global environmental change : human and policy dimensions,Glob Environ Change,0959-3780,,9.1,Q1,1.0
"Journal of cachexia, sarcopenia and muscle",J Cachexia Sarcopenia Muscle,2190-5991,2190-6009,9.1,Q1,1.0
Liver cancer,Liver Cancer,2235-1795,1664-5553,9.1,Q1,1.0
Renewable energy,Renew Energy,0960-1481,1879-0682,9.1,Q1,1.0
Current opinion in food science,Curr Opin Food Sci,2214-7993,2214-8000,9.1,Q1,1.0
Psychology & marketing,Psychol Mark,0742-6046,1520-6793,9.1,Q1,2.0
ACM transactions on information systems,ACM Trans Inf Syst,1046-8188,1558-2868,9.1,Q1,2.0
Computers in industry,Comput Ind,0166-3615,1872-6194,9.1,Q1,1.0
Corporate social responsibility and environmental management,Corp Soc Responsib Environ Manag,1535-3958,1535-3966,9.1,Q1,2.0
Computer-aided civil and infrastructure engineering,Comput Aided Civ Infrastruct Eng,1093-9687,1467-8667,9.1,Q1,1.0
Biological psychiatry,Biol Psychiatry,0006-3223,1873-2402,9.0,Q1,1.0
Human resource management,Hum Resour Manage,0090-4848,,9.0,Q1,2.0
Osteoarthritis and cartilage,Osteoarthritis Cartilage,1063-4584,1522-9653,9.0,Q1,1.0
Bioresource technology,Bioresour Technol,0960-8524,1873-2976,9.0,Q1,1.0
Trends in cardiovascular medicine,Trends Cardiovasc Med,1050-1738,1873-2615,9.0,Q1,2.0
Physical review letters,Phys Rev Lett,0031-9007,1079-7114,9.0,Q1,1.0
Alcohol research & health : the journal of the National Institute on Alcohol Abuse and Alcoholism,Alcohol Res Health,1535-7414,1930-0573,9.0,Q1,2.0
Annual review of sociology,Annu Rev Sociol,0360-0572,1545-2115,9.0,Q1,
Learning and individual differences,Learn Individ Differ,1041-6080,,9.0,Q1,
Nano research,Nano Res,1998-0124,1998-0000,9.0,Q1,1.0
Journal of management,J Manage,0149-2063,1557-1211,9.0,Q1,1.0
Journal of international business studies,J Int Bus Stud,0047-2506,1478-6990,9.0,Q1,1.0
Separation and purification technology,Sep Purif Technol,1383-5866,1873-3794,9.0,Q1,2.0
Stroke,Stroke,0039-2499,1524-4628,8.9,Q1,1.0
Computers in human behavior,Comput Human Behav,0747-5632,,8.9,Q1,
Economic geography,Econ Geogr,0013-0095,,8.9,Q1,
Dialogues in clinical neuroscience,Dialogues Clin Neurosci,1294-8322,1958-5969,8.9,Q1,2.0
"Composites. Part A, Applied science and manufacturing",Compos Part A Appl Sci Manuf,1359-835X,,8.9,Q1,1.0
Chinese chemical letters = Zhongguo hua xue kuai bao,Chin Chem Lett,1001-8417,1878-5964,8.9,Q1,1.0
Mechanical systems and signal processing,Mech Syst Signal Process,0888-3270,1096-1216,8.9,Q1,1.0
IEEE transactions on neural networks and learning systems,IEEE Trans Neural Netw Learn Syst,2162-237X,2162-2388,8.9,Q1,1.0
Chinese herbal medicines,Chin Herb Med,1674-6384,2589-3610,8.9,Q1,
Journal of pharmaceutical analysis,J Pharm Anal,2095-1779,2214-0883,8.9,Q1,1.0
Computers and electronics in agriculture,Comput Electron Agric,0168-1699,1872-7107,8.9,Q1,1.0
Journal of business venturing,J Bus Ventur,0883-9026,1873-2003,8.9,Q1,1.0
Geoscience frontiers,Geosci Front,1674-9871,2588-9192,8.9,Q1,1.0
Critical reviews in food science and nutrition,Crit Rev Food Sci Nutr,1040-8398,1549-7852,8.8,Q1,2.0
The British journal of surgery,Br J Surg,0007-1323,1365-2168,8.8,Q1,1.0
The journal of economic perspectives : a journal of the American Economic Association,J Econ Perspect,0895-3309,1944-7965,8.8,Q1,
American journal of clinical dermatology,Am J Clin Dermatol,1175-0561,1179-1888,8.8,Q1,1.0
Educational psychology review,Educ Psychol Rev,1040-726X,1573-336X,8.8,Q1,
Virtual and physical prototyping,Virtual Phys Prototyp,1745-2759,1745-2767,8.8,Q1,1.0
Topics in current chemistry (Cham),Top Curr Chem (Cham),2365-0869,2364-8961,8.8,Q1,2.0
"Transportation research. Part E, Logistics and transportation review",Transp Res E Logist Transp Rev,1366-5545,1878-5794,8.8,Q1,1.0
Cancer metastasis reviews,Cancer Metastasis Rev,0167-7659,1573-7233,8.7,Q1,2.0
Developmental cell,Dev Cell,1534-5807,1878-1551,8.7,Q1,1.0
International journal of stroke : official journal of the International Stroke Society,Int J Stroke,1747-4930,1747-4949,8.7,Q1,
Economic analysis and policy,Econ Anal Policy,0313-5926,,8.7,Q1,
Journal of Crohn's & colitis,J Crohns Colitis,1873-9946,1876-4479,8.7,Q1,2.0
Surface science reports,Surf Sci Rep,0167-5729,1879-274X,8.7,Q1,1.0
Annual review of animal biosciences,Annu Rev Anim Biosci,2165-8102,2165-8110,8.7,Q1,1.0
Annual review of statistics and its application,Annu Rev Stat Appl,2326-8298,2326-831X,8.7,Q1,
"IEEE transactions on systems, man, and cybernetics. Systems",IEEE Trans Syst Man Cybern Syst,2168-2216,2168-2232,8.7,Q1,1.0
International journal of coal science & technology,Int J Coal Sci Technol,2095-8293,2198-7823,8.7,Q1,1.0
Annual review of genetics,Annu Rev Genet,0066-4197,1545-2948,8.6,Q1,1.0
Chest,Chest,0012-3692,1931-3543,8.6,Q1,1.0
IEEE transactions on geoscience and remote sensing : a publication of the IEEE Geoscience and Remote Sensing Society,IEEE Trans Geosci Remote Sens,0196-2892,1558-0644,8.6,Q1,1.0
International journal of applied earth observation and geoinformation : ITC journal,Int J Appl Earth Obs Geoinf,1569-8432,1872-826X,8.6,Q1,1.0
European journal of information systems : an official journal of the Operational Research Society,Eur J Inf Syst,0960-085X,1476-9344,8.6,Q1,2.0
Journal of stroke,J Stroke,2287-6391,2287-6405,8.6,Q1,1.0
Gondwana research : international geoscience journal,Gondwana Res,1342-937X,1878-0571,8.6,Q1,1.0
Journal of service research,J Serv Res,1094-6705,1552-7379,8.6,Q1,2.0
International journal of biological macromolecules,Int J Biol Macromol,0141-8130,1879-0003,8.5,Q1,2.0
The Medical journal of Australia,Med J Aust,0025-729X,1326-5377,8.5,Q1,
Neurology,Neurology,0028-3878,1526-632X,8.5,Q1,1.0
Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,Clin Microbiol Infect,1198-743X,1469-0691,8.5,Q1,2.0
Diabetes & metabolism journal,Diabetes Metab J,2233-6079,2233-6087,8.5,Q1,
Corrosion science,Corros Sci,0010-938X,1879-0496,8.5,Q1,1.0
Swarm and evolutionary computation,Swarm Evol Comput,2210-6502,2210-6510,8.5,Q1,2.0
Horticulture research,Hortic Res,2662-6810,2052-7276,8.5,Q1,1.0
International journal of artificial intelligence in education,Int J Artif Intell Educ,1560-4292,1560-4306,8.5,Q1,2.0
"View (Beijing, China)",View (Beijing),2688-3988,2688-268X,8.5,Q1,
American journal of obstetrics and gynecology,Am J Obstet Gynecol,0002-9378,1097-6868,8.4,Q1,1.0
Acta pharmacologica Sinica,Acta Pharmacol Sin,1671-4083,1745-7254,8.4,Q1,
Journal of environmental management,J Environ Manage,0301-4797,1095-8630,8.4,Q1,2.0
Integrated environmental assessment and management,Integr Environ Assess Manag,1551-3777,1551-3793,8.4,Q1,4.0
Perspectives on psychological science : a journal of the Association for Psychological Science,Perspect Psychol Sci,1745-6916,1745-6924,8.4,Q1,
Brain stimulation,Brain Stimul,1935-861X,1876-4754,8.4,Q1,1.0
Circulation. Heart failure,Circ Heart Fail,1941-3289,1941-3297,8.4,Q1,1.0
Review of finance,Rev Financ,1572-3097,1875-824X,8.4,Q1,
IEEE transactions on intelligent transportation systems : a publication of the IEEE Intelligent Transportation Systems Council,IEEE trans Intell Transp Syst,1524-9050,1558-0016,8.4,Q1,2.0
Cancer biology & medicine,Cancer Biol Med,2095-3941,,8.4,Q1,
Annual review of resource economics,Annu Rev Resour Economics,1941-1340,1941-1359,8.4,Q1,
Engineering geology,Eng Geol,0013-7952,1872-6917,8.4,Q1,1.0
Journal of CO(2) utilization,J CO2 Util,2212-9820,,8.4,Q1,2.0
The EMBO journal,EMBO J,0261-4189,1460-2075,8.3,Q1,1.0
Immunological reviews,Immunol Rev,0105-2896,1600-065X,8.3,Q1,
Phytomedicine : international journal of phytotherapy and phytopharmacology,Phytomedicine,0944-7113,1618-095X,8.3,Q1,1.0
International journal of hydrogen energy,Int J Hydrogen Energy,0360-3199,,8.3,Q1,2.0
"Computers, environment and urban systems",Comput Environ Urban Syst,0198-9715,,8.3,Q1,1.0
Autoimmunity reviews,Autoimmun Rev,1568-9972,1873-0183,8.3,Q1,1.0
EMBO molecular medicine,EMBO Mol Med,1757-4676,1757-4684,8.3,Q1,1.0
International journal of hospitality management,Int J Hosp Manag,0278-4319,1873-4693,8.3,Q1,1.0
Annual review of virology,Annu Rev Virol,2327-056X,2327-0578,8.3,Q1,1.0
Information systems frontiers : a journal of research and innovation,Inf Syst Front,1387-3326,1572-9419,8.3,Q1,3.0
Biochimica et biophysica acta. Reviews on cancer,Biochim Biophys Acta Rev Cancer,0304-419X,1879-2561,8.3,Q1,2.0
IEEE transactions on communications. IEEE Communications Society,IEEE Trans Commun,0090-6778,1558-0857,8.3,Q1,2.0
Telematics and informatics,Telemat Inform,0736-5853,1879-324X,8.3,Q1,2.0
American journal of kidney diseases : the official journal of the National Kidney Foundation,Am J Kidney Dis,0272-6386,1523-6838,8.2,Q1,1.0
Free radical biology & medicine,Free Radic Biol Med,0891-5849,1873-4596,8.2,Q1,2.0
"Hypertension (Dallas, Tex. : 1979)",Hypertension,0194-911X,1524-4563,8.2,Q1,1.0
Journal of cardiac failure,J Card Fail,1071-9164,1532-8414,8.2,Q1,
American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Am J Transplant,1600-6135,1600-6143,8.2,Q1,1.0
Progress in nuclear magnetic resonance spectroscopy,Prog Nucl Magn Reson Spectrosc,0079-6565,1873-3301,8.2,Q1,2.0
ACS applied materials & interfaces,ACS Appl Mater Interfaces,1944-8244,1944-8252,8.2,Q1,2.0
Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology,Wiley Interdiscip Rev Nanomed Nanobiotechnol,1939-5116,1939-0041,8.2,Q1,
Cancer immunology research,Cancer Immunol Res,2326-6066,2326-6074,8.2,Q1,1.0
IEEE communications magazine. IEEE Communications Society,IEEE Commun Mag,0163-6804,1558-1896,8.2,Q1,2.0
American journal of human genetics,Am J Hum Genet,0002-9297,1537-6605,8.1,Q1,1.0
